id,pid,level,order_num,hidden,enabled,create_date,title,content_text,link
7,0,0,1,1,1,2006-03-23 00:00:00,Главная,"Основными направлениями деятельности предприятия являются: Разработка и изготовление нового оборудования для резинотехнических, шинных и электротехнических предприятий; Производство новых приборов для лабораторий для измерения свойств резины, каучуков и пластмасс; Продажа, закупка и ремонт: Б/у оборудования и б/у приборов для резины и пластмасс; Поставка оборудования и приборов из Китая для резины и пластмасс . С радостью сообщаем хорошую новость, что с августа 2024 года мы нашли способ оплаты за товары из Китая! И даже 19 санкционный пакет 2025 года о запрете перечислений за коды 84 и 85 - нам нипочём! Однако есть и некоторые моменты - цены на китайскую продукцию могут немного увеличиться по сравнению с ранее заявленными. Кроме того, стоит учесть, что не специалисту может быть сложно разобраться во всех особенностях работы китайских предприятий и их производства. В Китае работает множество производителей, выпускающих однотипную продукцию, но качество и цены могут сильно различаться, а поставляемая в комплекте тех.документация не позволяет качественно провести пуско-наладочные работы. Поэтому мы работаем только с теми производителями, которые могут изготовить оборудование и приборы в соответствии с нашими требованиями, соответствующие нашим ГОСТ, или по нашим чертежам и с учетом всех необходимых доработок. Мы также предоставляем полный комплекс услуг по транспортировке, растаможке и доставке продукции до потребителя. Кроме того, мы осуществляем пуско-наладочные работы грамотными специалистами, а также предоставляем своё гарантийное и постгарантийное обслуживание. В случае необходимости, мы можем изготовить запасные детали по чертежам, полученным из Китая. Изготовление резино-технических изделий РТИ , РТД стандартных и по чертежам и образцам заказчика: кольца, прокладки, манжеты, конусы, прокладки, пробки, уплотнения, в т.ч. для розлива напитков: губки захватов бутылок для ополаскивающих и бракеражных автоматов, обрезиненные столики для этикеровочных машин. Изготовление пресс-форм для резины. Ссылки на оборудование и приборы производства Россия: Вальцы , каландр , краскотерка , пресс вулканизационный , дробилка для полимеров , измельчитель брикетов каучука - червячная установка , протекторная линия , линия заготовки боковин протекторов, линия гермослоя , дуплекс, триплекс, фильтровальная головка на экструдер , резиносмеситель Интермикс, смеситель Вернер , устройство распределительное для воды и воздуха , вспениватель для пенорезины , линия для рукавов высокого давления и рукавов с нитяной оплеткой , линия для производства галош , резиновых сапог, агрегат литьевой для обуви, таблеточные роторные и гидравлические машины , линия для фторопластовых труб и стержней , установка ультрафиолетового обеззараживания – ультрафиолетовый обеззараживатель . Приборы, машины для резины, каучука, РТИ и пластмасс . Разрывная машина РМИ ГОСТ 28840, морозостойкости ГОСТ 408, температурного предела хрупкости ГОСТ 7912, восстанавливаемости ГОСТ 13808, истирания МИ-2 , истирание по возобновляемой поверхности по DIN, ISO , твердомер шариковый ТШМ-2 ГОСТ 19111, 5960, твердомер по ISO ГОСТ 20403, пластометр ПСМ-2 ГОСТ 415, определения поверхностного натяжения тенсиометр Дю Нуи ГОСТ 20216, релаксометр осевого сжатия ГОСТ 9982, упругомер (УМР-1) ГОСТ 27110, ИСО 4662, машина для вырезки образцов пластин , сжатие и восстанавливаемость ГОСТ 20014, пресс пневматический для вырубки образцов , пресс гидравлический, вырубной пресс, нож вырубной штанцевый по ГОСТ 270, ГОСТ11262, ГОСТ23016, ГОСТ 26589-94, ГОСТ 29088-91, ГОСТ 12580, ГОСТ 2678-94, ГОСТ 262, ГОСТ 7912, ГОСТ 12535, вискозиметр Светлова ВМ-10 , стандартная кружка ВМС , лабораторные вальцы смесительные , c электроподогревом , микросмеситель Брабендер , лабораторный резиносмеситель , смеситель резинового клея , лабораторный смеситель Вернер , многократное растяжение и сжатие МРС-2 , прибор кольцевого модуля , машина на испытание на изгиб, машина Торренса . Ссылки на оборудование и приборы из Китая : ВАЛЬЦЫ , КАЛАНДРЫ 2-Х ВАЛКОВЫЕ , КАЛАНДРЫ 3-Х ВАЛКОВЫЕ , КАЛАНДРЫ 4-Х ВАЛКОВЫЕ , ОХЛАДИТЕЛЬНЫЕ БАРАБАНЫ , РЕЗИНОСМЕСИТЕЛЬ С РОТОРАМИ ТАНГЕНЦИАЛЬНОГО ТИПА (BANBURY ) , РЕЗИНОСМЕСИТЕЛЬ С РОТОРАМИ ТИПА ИНТЕРМИКC (INTERMESHING) (ДЛЯ ЖЕСТКИХ РЕЗИН до 120 ед по Муни) , СМЕСИТЕЛЬ ДИСПЕРСИОННЫЙ ДЛЯ РЕЗИНЫ И ПЛАСТМАСС С ВЕРХНИМ ПОДДАВЛИВАНИЕМ , СМЕСИТЕЛЬ ДИСПЕРСИОННЫЙ ДЛЯ ФОРМИРУЮЩИХСЯ ПЛАСТМАСС , СМЕСИТЕЛЬ ДВУХСТАДИЙНЫЙ ВЫСОКОСКОРОСТНОЙ ДЛЯ ПВХ (PVC) , ДВУХШНЕКОВЫЙ СМЕСИТЕЛЬ С ДВУХВАЛКОВОЙ ГОЛОВКОЙ , ВАКУУМНАЯ МЕСИЛЬНАЯ МАШИНА на 500 литров , СТРЕЙНЕР ДЛЯ РЕЗИНЫ , ЭКСТРУДЕРЫ ДЛЯ РЕЗИНЫ ХОЛОДНОГО ТИПА МЧХ , ЭКСТРУДЕР ДЛЯ РЕЗИНЫ ШТИФТОВЫЙ ХОЛОДНОГО ТИПА , ЭКСТРУДЕР ШТИФТОВЫЙ С ВАЛКОВОЙ ГОЛОВКОЙ , ЭКСТРУДЕР ШТИФТОВЫЙ С ГИДРАВЛИЧЕСКОЙ ГОЛОВКОЙ , ЭКСТРУДЕР ДЛЯ ПЛАСТМАСС ОДНОШНЕКОВЫЙ , ЭКСТРУДЕР ДЛЯ ПЛАСТМАСС С КОНИЧЕСКИМИ СДВОЕННЫМИ ШНЕКАМИ ТИПА ИНТЕРМИКС , ЭКСТРУДЕР ДЛЯ ПЛАСТМАСС ДВУХСТАДИЙНЫЙ , ЛИНИЯ КАЛАНДРОВАЯ ДЛЯ ЛИСТА ПВХ (PVC), ЛИНИЯ КАЛАНДРОВАЯ ДЛЯ ЛИСТА 0,3..2мм. ПП (PP) ., ЛИНИЯ КАЛАНДРОВАЯ ДЛЯ ЛИСТА 3..25мм. ПП (PP), ЛИНИЯ ГРАНУЛИРОВАНИЯ ПВХ , ДУПЛЕКСЫ , ТРИПЛЕКСЫ СО ШТИФТОВЫМИ ЭКСТРУДЕРАМИ ХОЛОДНОГО ТИПА , ПРЕССА ВУЛКАНИЗАЦИОННЫЕ, С ВАКУУМИРОВАНИЕМ, ИНЖЕКЦИОННЫЕ , ПРЕССА ПРЕДФОРМОВАТЕЛИ - ПРЕФОРМЕРЫ , ЛИНИЯ ПРОИЗВОДСТВА ДВЕРЕЙ И ОКОН ИЗ ПВХ(PVC) ИЛИ WPC , РЕЗАК ПОЛОСОК , ОТРЕЗНАЯ МАШИНА ТРУБ ПВХ, PE, PPR , ОТРЕЗНАЯ МАШИНА ПЛАНЕТАРНАЯ , МАШИНА ДЛЯ ПРОДОЛЬНОЙ РЕЗКИ С МУЛЬТИЛЕЗВИЕМ , ДИАГОНАЛЬНО_РЕЗАТЕЛЬНАЯ МАШИНА ДРМ , ПРОТЕКТОРНАЯ ХОЛОДИЛЬНАЯ УСТАНОВКА , МАШИНА НЕПРЕРЫВНОЙ ВУЛКАНИЗАЦИИ , ТАБЛЕТОЧНЫЕ МАШИНЫ , ОПЛЕТОЧНЫЕ МАШИНЫ 36 и 48 ШПУЛЬНЫЕ , Аппарат для шовной сварки, Гидравлическая фасонная машина, Змеевиковая фасонная машина, Отрезной станок, Трубосварочная машина , ОБОРУДОВАНИЕ ДЛЯ ПЕРЕРАБОТКИ АВТОПОКРЫШЕК. РАЗРЫВНЫЕ СЖИМАЮЩИЕ МАШИНЫ , МАЯТНИКОВЫЙ КОПЕР (ОПРЕДЕЛЕНИЯ УДАРНОЙ ВЯЗКОСТИ) , АНАЛИЗАТОР ДИСПЕРСИИ УГЛЕРОДА , ЭЛАСТОМЕР – УПРУГОМЕР , ПРИБОР ДЛЯ ИЗМЕРЕНИЯ ГИДРАВЛИЧЕСКОГО ДАВЛЕНИЯ НА ПЛАСТМАССОВУЮ ТРУБУ , МАШИНА ДЛЯ ВЫРЕЗКИ ПЛАСТИН , ТЕРМОКАМЕРА ДЛЯ ИСПЫТАНИЯ РЕЗИНЫ НА СТАРЕНИЕ , ИСПЫТАТЕЛЬ ИЗНОШЕННОСТИ КЛИНОВОГО РЕМНЯ , ВИСКОЗИМЕТР ПО МУНИ , РЕОМЕТР , ПРЕСС РУЧНОЙ , ПРЕСС ПНЕВМАТИЧЕСКИЙ 3тн. 5 тн. , АВТОМАТИЧЕСКИЙ РЕЗАК КАУЧУКА , АВТОМАТИЧЕСКИЙ ПРИБОР ДЛЯ ОБРЕЗАНИЯ САЛЬНИКА , ИСПЫТАТЕЛЬ СЖАТИЯ РЕЗИНЫ , ФЛЕКСОМЕТР , ТОЛЩИНОМЕРЫ , ТВЕРДОМЕРЫ , ПЛАСТОМЕТР , ПЛАСТОМЕТР C ТЕРМОСТАТОМ , ПРИБОР ДЛЯ ИСПЫТАНИЯ РЕЗИНЫ НА ИЗГИБ , ИСПЫТАТЕЛЬ ХРУПКОСТИ РЕЗИНЫ НИЗКОЙ ТЕМПЕРАТУРОЙ , ИСПЫТАТЕЛЬ ТРЕНИЯ ШИН , ПРИБОР ДЛЯ ИСПЫТАНИЯ ЭЛАСТОМЕРОВ НА ТРЕНИЕ ПО ВОЗОБНОВЛЯЕМОЙ ПОВЕРХНОСТИ , МАШИНА НА ИСПЫТАНИЕ РЕЗИН НА ИЗГИБ И УСТАЛОСТЬ ISO132 ISO133 , МАШИНА НА ИСПЫТАНИЕ РЕЗИН НА ИСТИРАНИЕ. АБРАЗИМЕТР , ИНДЕКС РАСПЛАВА ТЕРМОПЛАСТОВ - ЭКСТРУЗИОННЫЙ ПЛАСТОМЕТР , РЕЛАКСОМЕТР ОБУВНЫЕ ЛИТЬЕВЫЕ ПРЕССА ТИПА ДЕСМА DESMA, ОБОРУДОВАНИЕ ДЛЯ ПРОИЗВОДСТВА ОБУВИ, САПОГ, Ламинирующие, ДУБЛИРУЮЩИЕ, ПРОКЛЕИВАЮЩИЕ МАШИНЫ ДЛЯ ТКАНИ",
1822,1086,3,35,0,1,0000-00-00 00:00:00,Таблетирование АГ-4В и волокнита ЛТСВ-50-35/100,Линия для таблетирования волокнистых пресс-материалов типа АГ-4В и волокнита ЛТСВ-50-35/100 инд.591.750 http://www.polgroup.ru/ag4v.html,http://www.polgroup.ru/ag4v.html
1840,1652,3,30,0,1,0000-00-00 00:00:00,МАШИНА ДЛЯ ИСПЫТАНИЯ НА ИЗГИБ ПРИ СДВИГЕ И СОПРОТИВЛЕНИЕ ТРЕНИЮ,МАШИНА ДЛЯ ИСПЫТАНИЯ НА ИЗГИБ ПРИ СДВИГЕ И СОПРОТИВЛЕНИЕ ТРЕНИЮ http://www.polgroup.ru/sopr_tr.html,http://www.polgroup.ru/sopr_tr.html
1841,1652,3,35,0,1,0000-00-00 00:00:00,ДВУХГОЛОВОЧНЫЙ ШЛИФОВАЛЬНЫЙ СТАНОК,ДВУХГОЛОВОЧНЫЙ ШЛИФОВАЛЬНЫЙ СТАНОК http://www.polgroup.ru/tor_st.html,http://www.polgroup.ru/tor_st.html
1842,1652,3,40,0,1,0000-00-00 00:00:00,ВОЗВРАТНО-ПОСТУПАТЕЛЬНАЯ ИСТИРАЮЩАЯ МАШИНА ДЛЯ ИСПЫТАНИЯ НА ТРЕНИЕ РЕЗИН,ВОЗВРАТНО-ПОСТУПАТЕЛЬНАЯ ИСТИРАЮЩАЯ МАШИНА ДЛЯ ИСПЫТАНИЯ НА ТРЕНИЕ РЕЗИН http://www.polgroup.ru/vozvr_post.html,http://www.polgroup.ru/vozvr_post.html
1662,1061,3,20,0,1,0000-00-00 00:00:00,АЛГОРИТМ ВЫБОРА ВАЛЬЦЕВ,ПОМОЩЬ В ВЫБОРЕ ВАЛЬЦЕВ. АЛГОРИТМ ПОДБОРА ВАЛЬЦЕВ http://www.polgroup.ru/algoritm_mill.html,http://www.polgroup.ru/algoritm_mill.html
1797,1793,4,300,0,1,0000-00-00 00:00:00,ГОРЯЧЕГО ТИПА МЧТ,ЭКСТРУДЕР ДЛЯ РЕЗИНЫ ТЕПЛОГО ТИПА МЧТ . Китай ПРОЙДИТЕ ПО ССЫЛКЕ http://polgroup.ru/hot_ekstr.html,http://polgroup.ru/hot_ekstr.html
1837,1803,4,400,0,1,0000-00-00 00:00:00,ПЛАНЕТАРНЫЕ,Планетарные экструдеры для ПВХ www.polgroup.ru/planekstr.html,http://www.polgroup.ru/planekstr.html
1751,1333,3,90,0,1,0000-00-00 00:00:00,ПЛЕТЕЛЬНЫЕ МАШИНЫ. Германия,ПЛЕТЕЛЬНЫЕ МАШИНЫ. Германия http://www.polgroup.ru/pletel.html,http://www.polgroup.ru/pletel.html
1750,1090,3,150,0,1,0000-00-00 00:00:00,ВАЛКИ ДЛЯ КАЛАНДРОВ И ВАЛЬЦЕВ,ВАЛКИ ДЛЯ КАЛАНДРОВ И ВАЛЬЦЕВ ЦЕНЫ http://www.polgroup.ru/rolls.html,http://www.polgroup.ru/rolls.html
